Honeypot,City,Region,IPv4,Public IPv4 Gateway,Private IPv4,IPv6,Public IPv6 Gateway,Total Flows,Total Bytes,Total Packets,Total Unique Src IPs,TCP Flows,UDP Flows
Honeypot-Cloud-DigitalOcean-Geo-1,Amsterdam,Europe,104.248.195.152,104.248.192.1,10.110.0.2,2a03:b0c0:2:d0::11ae:1,2a03:b0c0:2:d0::1,"989,490","746,145,210","2,394,803","65,954","855,387","61,810"
Honeypot-Cloud-DigitalOcean-Geo-2,Bangalore,Asia,165.22.222.201,165.22.208.1,10.122.0.3,2400:6180:100:d0::993:c001,2400:6180:100:d0::1,"1,139,698","744,206,528","2,704,501","82,559","867,720","58,448"
Honeypot-Cloud-DigitalOcean-Geo-3,Frankfurt,Europe,209.38.234.36,209.38.224.1,10.135.0.2,2a03:b0c0:3:d0::123c:e001,2a03:b0c0:3:d0::1,"1,291,598","1,058,389,496","3,345,360","67,289","918,068","70,657"
Honeypot-Cloud-DigitalOcean-Geo-4,London,Europe,165.232.34.90,165.232.32.1,10.106.0.2,2a03:b0c0:1:d0::1114:9001,2a03:b0c0:1:d0::1,"1,503,709","2,400,789,525","3,435,967","75,811","1,150,844","56,673"
Honeypot-Cloud-DigitalOcean-Geo-5,New York,North America,165.22.2.102,165.22.0.1,10.116.0.2,2604:a880:400:d0::1edd:8001,2604:a880:400:d0::1,"1,261,077","2,210,464,593","2,961,315","75,917","949,834","74,954"
Honeypot-Cloud-DigitalOcean-Geo-6,San Francisco,North America,64.23.252.8,64.23.240.1,10.124.0.2,2604:a880:4:1d0::219:3000,2604:a880:4:1d0::1,"2,470,367","1,116,452,254","5,998,738","81,071","1,985,709","279,746"
Honeypot-Cloud-DigitalOcean-Geo-7,Singapore,Asia,152.42.255.26,152.42.240.1,10.104.0.2,2400:6180:0:d0::41:e001,2400:6180:0:d0::1,"1,120,433","1,408,814,414","2,809,927","58,996","945,155","60,981"
Honeypot-Cloud-DigitalOcean-Geo-8,Toronto,North America,147.182.157.27,147.182.144.1,10.118.0.2,2604:a880:cad:d0::d8b:d001,2604:a880:cad:d0::1,"1,480,552","738,255,072","3,683,869","86,375","1,284,903","82,626"
Honeypot-Cloud-DigitalOcean-Geo-9,Sydney,Oceania,170.64.225.155,170.64.224.1,10.126.0.2,2400:6180:10:200::132:5000,2400:6180:10:200::1,"1,220,240","3,875,071,618","3,072,041","58,220","1,056,041","66,995"
